year month day evapotransp_mgb
1980 01 01 3.108
1980 01 02 3.101
1980 01 03 3.102
1980 01 04 3.105
1980 01 05 3.107
1980 01 06 3.109
1980 01 07 3.111
1980 01 08 3.112
1980 01 09 3.114
1980 01 10 3.116
1980 01 11 3.109
1980 01 12 3.121
1980 01 13 3.062
1980 01 14 3.084
1980 01 15 3.112
1980 01 16 3.126
1980 01 17 3.137
1980 01 18 3.138
1980 01 19 3.145
1980 01 20 3.151
1980 01 21 3.154
1980 01 22 3.158
1980 01 23 3.161
1980 01 24 3.165
1980 01 25 3.150
1980 01 26 3.173
1980 01 27 3.176
1980 01 28 3.180
1980 01 29 3.184
1980 01 30 3.186
1980 01 31 3.188
1980 02 01 3.162
1980 02 02 3.186
1980 02 03 3.192
1980 02 04 3.200
1980 02 05 3.157
1980 02 06 3.205
1980 02 07 3.203
1980 02 08 3.216
1980 02 09 3.215
1980 02 10 3.215
1980 02 11 3.167
1980 02 12 3.177
1980 02 13 3.153
1980 02 14 3.182
1980 02 15 3.152
1980 02 16 3.159
1980 02 17 3.154
1980 02 18 3.175
1980 02 19 3.211
1980 02 20 3.134
1980 02 21 3.105
1980 02 22 3.101
1980 02 23 3.085
1980 02 24 3.166
1980 02 25 3.174
1980 02 26 3.211
1980 02 27 3.174
1980 02 28 3.100
1980 02 29 3.032
1980 03 01 2.942
1980 03 02 2.937
1980 03 03 2.896
1980 03 04 3.017
1980 03 05 3.007
1980 03 06 2.965
1980 03 07 2.902
1980 03 08 2.921
1980 03 09 2.980
1980 03 10 3.058
1980 03 11 3.067
1980 03 12 3.142
1980 03 13 3.104
1980 03 14 3.144
1980 03 15 3.191
1980 03 16 3.205
1980 03 17 3.221
1980 03 18 3.226
1980 03 19 3.232
1980 03 20 3.231
1980 03 21 3.228
1980 03 22 3.226
1980 03 23 3.224
1980 03 24 3.220
1980 03 25 3.218
1980 03 26 3.216
1980 03 27 3.213
1980 03 28 3.210
1980 03 29 3.207
1980 03 30 3.203
1980 03 31 3.200
1980 04 01 3.113
1980 04 02 3.092
1980 04 03 3.088
1980 04 04 3.041
1980 04 05 3.078
1980 04 06 3.072
1980 04 07 3.065
1980 04 08 3.059
1980 04 09 3.046
1980 04 10 3.039
1980 04 11 3.030
1980 04 12 3.030
1980 04 13 3.017
1980 04 14 3.020
1980 04 15 3.008
1980 04 16 3.000
1980 04 17 3.004
1980 04 18 3.007
1980 04 19 3.000
1980 04 20 2.995
1980 04 21 2.991
1980 04 22 2.986
1980 04 23 2.980
1980 04 24 2.973
1980 04 25 2.967
1980 04 26 2.961
1980 04 27 2.955
1980 04 28 2.949
1980 04 29 2.942
1980 04 30 2.914
1980 05 01 2.954
1980 05 02 2.914
1980 05 03 2.885
1980 05 04 2.902
1980 05 05 2.896
1980 05 06 2.889
1980 05 07 2.885
1980 05 08 2.870
1980 05 09 2.870
1980 05 10 2.808
1980 05 11 2.857
1980 05 12 2.851
1980 05 13 2.845
1980 05 14 2.840
1980 05 15 2.834
1980 05 16 2.823
1980 05 17 2.821
1980 05 18 2.762
1980 05 19 2.808
1980 05 20 2.803
1980 05 21 2.797
1980 05 22 2.792
1980 05 23 2.787
1980 05 24 2.782
1980 05 25 2.777
1980 05 26 2.772
1980 05 27 2.767
1980 05 28 2.762
1980 05 29 2.759
1980 05 30 2.755
1980 05 31 2.751
1980 06 01 2.776
1980 06 02 2.737
1980 06 03 2.733
1980 06 04 2.729
1980 06 05 2.726
1980 06 06 2.723
1980 06 07 2.720
1980 06 08 2.716
1980 06 09 2.713
1980 06 10 2.711
1980 06 11 2.711
1980 06 12 2.708
1980 06 13 2.706
1980 06 14 2.704
1980 06 15 2.703
1980 06 16 2.701
1980 06 17 2.701
1980 06 18 2.700
1980 06 19 2.683
1980 06 20 2.698
1980 06 21 2.699
1980 06 22 2.698
1980 06 23 2.653
1980 06 24 2.699
1980 06 25 2.661
1980 06 26 2.699
1980 06 27 2.699
1980 06 28 2.698
1980 06 29 2.697
1980 06 30 2.695
1980 07 01 2.801
1980 07 02 2.786
1980 07 03 2.788
1980 07 04 2.790
1980 07 05 2.792
1980 07 06 2.775
1980 07 07 2.745
1980 07 08 2.758
1980 07 09 2.774
1980 07 10 2.793
1980 07 11 2.800
1980 07 12 2.807
1980 07 13 2.817
1980 07 14 2.792
1980 07 15 2.816
1980 07 16 2.818
1980 07 17 2.822
1980 07 18 2.776
1980 07 19 2.826
1980 07 20 2.804
1980 07 21 2.839
1980 07 22 2.849
1980 07 23 2.846
1980 07 24 2.820
1980 07 25 2.810
1980 07 26 2.811
1980 07 27 2.844
1980 07 28 2.842
1980 07 29 2.771
1980 07 30 2.796
1980 07 31 2.808
1980 08 01 2.973
1980 08 02 3.050
1980 08 03 3.009
1980 08 04 2.958
1980 08 05 2.976
