year month day streamflow_m3s qual_control_by_ana qual_flag
2009 01 01 32.300000 1 1
2009 01 02 28.400000 1 1
2009 01 03 35.570000 1 1
2009 01 04 431.420000 1 1
2009 01 05 326.310000 1 1
2009 01 06 197.850000 1 1
2009 01 07 145.970000 1 1
2009 01 08 133.190000 1 1
2009 01 09 106.820000 1 1
2009 01 10 243.790000 1 1
2009 01 11 242.240000 1 1
2009 01 12 177.170000 1 1
2009 01 13 216.420000 1 1
2009 01 14 151.880000 1 1
2009 01 15 141.280000 1 1
2009 01 16 96.700000 1 1
2009 01 17 73.560000 1 1
2009 01 18 193.460000 1 1
2009 01 19 209.840000 1 1
2009 01 20 193.390000 1 1
2009 01 21 210.650000 1 1
2009 01 22 153.250000 1 1
2009 01 23 97.220000 1 1
2009 01 24 82.660000 1 1
2009 01 25 65.750000 1 1
2009 01 26 55.870000 1 1
2009 01 27 54.930000 1 1
2009 01 28 89.730000 1 1
2009 01 29 225.410000 1 1
2009 01 30 320.690000 1 1
2009 01 31 181.180000 1 1
2009 02 01 137.790000 1 1
2009 02 02 104.920000 1 1
2009 02 03 87.940000 1 1
2009 02 04 91.510000 1 1
2009 02 05 71.350000 1 1
2009 02 06 68.460000 1 1
2009 02 07 57.760000 1 1
2009 02 08 53.770000 1 1
2009 02 09 28.910000 1 1
2009 02 10 41.610000 1 1
2009 02 11 42.210000 1 1
2009 02 12 44.020000 1 1
2009 02 13 34.450000 1 1
2009 02 14 32.740000 1 1
2009 02 15 38.730000 1 1
2009 02 16 29.930000 1 1
2009 02 17 150.920000 1 1
2009 02 18 104.790000 1 1
2009 02 19 145.970000 1 1
2009 02 20 337.910000 1 1
2009 02 21 412.170000 1 1
2009 02 22 263.360000 1 1
2009 02 23 178.520000 1 1
2009 02 24 136.590000 1 1
2009 02 25 169.340000 1 1
2009 02 26 165.020000 1 1
2009 02 27 158.440000 1 1
2009 02 28 164.260000 1 1
2009 03 01 138.920000 1 1
2009 03 02 181.150000 1 1
2009 03 03 237.530000 1 1
2009 03 04 200.380000 1 1
2009 03 05 165.510000 1 1
2009 03 06 108.890000 1 1
2009 03 07 87.040000 1 1
2009 03 08 80.100000 1 1
2009 03 09 59.090000 1 1
2009 03 10 144.700000 1 1
2009 03 11 183.630000 1 1
2009 03 12 242.240000 1 1
2009 03 13 285.330000 1 1
2009 03 14 204.130000 1 1
2009 03 15 148.300000 1 1
2009 03 16 133.510000 1 1
2009 03 17 84.390000 1 1
2009 03 18 78.420000 1 1
2009 03 19 77.580000 1 1
2009 03 20 58.280000 1 1
2009 03 21 74.110000 1 1
2009 03 22 69.270000 1 1
2009 03 23 60.670000 1 1
2009 03 24 61.240000 1 1
2009 03 25 63.790000 1 1
2009 03 26 68.770000 1 1
2009 03 27 58.370000 1 1
2009 03 28 43.960000 1 1
2009 03 29 59.070000 1 1
2009 03 30 47.270000 1 1
2009 03 31 46.250000 1 1
2009 04 01 32.830000 1 1
2009 04 02 30.800000 1 1
2009 04 03 30.450000 1 1
2009 04 04 34.450000 1 1
2009 04 05 24.830000 1 1
2009 04 06 26.500000 1 1
2009 04 07 18.040000 1 1
2009 04 08 24.970000 1 1
2009 04 09 9.580000 1 1
2009 04 10 25.670000 1 1
2009 04 11 23.510000 1 1
2009 04 12 10.700000 1 1
2009 04 13 22.200000 1 1
2009 04 14 8.140000 1 1
2009 04 15 20.370000 1 1
2009 04 16 7.200000 1 1
2009 04 17 19.590000 1 1
2009 04 18 10.370000 1 1
2009 04 19 8.650000 1 1
2009 04 20 8.590000 1 1
2009 04 21 8.140000 1 1
2009 04 22 7.650000 1 1
2009 04 23 14.060000 1 1
2009 04 24 23.310000 1 1
2009 04 25 76.570000 1 1
2009 04 26 45.850000 1 1
2009 04 27 27.100000 1 1
2009 04 28 15.690000 1 1
2009 04 29 15.540000 1 1
2009 04 30 23.040000 1 1
2009 05 01 8.430000 1 1
2009 05 02 6.990000 1 1
2009 05 03 21.800000 1 1
2009 05 04 7.320000 1 1
2009 05 05 3.910000 1 1
2009 05 06 21.800000 1 1
2009 05 07 8.770000 1 1
2009 05 08 1.760000 1 1
2009 05 09 12.230000 1 1
2009 05 10 10.220000 1 1
2009 05 11 3.020000 1 1
2009 05 12 1.760000 1 1
2009 05 13 22.340000 1 1
2009 05 14 90.390000 1 1
2009 05 15 188.460000 1 1
2009 05 16 152.950000 1 1
2009 05 17 130.820000 1 1
2009 05 18 60.660000 1 1
2009 05 19 43.100000 1 1
2009 05 20 34.220000 1 1
2009 05 21 33.050000 1 1
2009 05 22 20.060000 1 1
2009 05 23 30.970000 1 1
2009 05 24 15.660000 1 1
2009 05 25 20.120000 1 1
2009 05 26 14.250000 1 1
2009 05 27 6.610000 1 1
2009 05 28 32.300000 1 1
2009 05 29 22.340000 1 1
2009 05 30 58.570000 1 1
2009 05 31 63.690000 1 1
2009 06 01 143.690000 1 1
2009 06 02 139.040000 1 1
2009 06 03 90.620000 1 1
2009 06 04 62.130000 1 1
2009 06 05 49.580000 1 1
2009 06 06 36.590000 1 1
2009 06 07 58.390000 1 1
2009 06 08 21.970000 1 1
2009 06 09 43.960000 1 1
2009 06 10 24.200000 1 1
2009 06 11 53.920000 1 1
2009 06 12 61.140000 1 1
2009 06 13 41.000000 1 1
2009 06 14 36.500000 1 1
2009 06 15 20.590000 1 1
2009 06 16 40.180000 1 1
2009 06 17 113.820000 1 1
2009 06 18 130.690000 1 1
2009 06 19 148.640000 1 1
2009 06 20 58.010000 1 1
2009 06 21 89.690000 1 1
2009 06 22 54.930000 1 1
2009 06 23 67.240000 1 1
2009 06 24 130.010000 1 1
2009 06 25 214.820000 1 1
2009 06 26 158.370000 1 1
2009 06 27 120.100000 1 1
2009 06 28 97.070000 1 1
2009 06 29 82.650000 1 1
2009 06 30 88.800000 1 1
2009 07 01 106.740000 1 1
2009 07 02 98.950000 1 1
2009 07 03 72.190000 1 1
2009 07 04 59.800000 1 1
2009 07 05 57.700000 1 1
2009 07 06 50.890000 1 1
2009 07 07 54.930000 1 1
2009 07 08 233.150000 1 1
2009 07 09 270.370000 1 1
2009 07 10 268.100000 1 1
2009 07 11 345.200000 1 1
2009 07 12 263.270000 1 1
2009 07 13 237.530000 1 1
2009 07 14 169.400000 1 1
2009 07 15 143.690000 1 1
2009 07 16 392.660000 1 1
2009 07 17 1022.460000 1 1
