year month day streamflow_m3s qual_control_by_ana qual_flag
1971 10 01 nan nan nan
1971 10 02 nan nan nan
1971 10 03 nan nan nan
1971 10 04 nan nan nan
1971 10 05 nan nan nan
1971 10 06 nan nan nan
1971 10 07 nan nan nan
1971 10 08 nan nan nan
1971 10 09 nan nan nan
1971 10 10 nan nan nan
1971 10 11 nan nan nan
1971 10 12 nan nan nan
1971 10 13 nan nan nan
1971 10 14 nan nan nan
1971 10 15 nan nan nan
1971 10 16 nan nan nan
1971 10 17 nan nan nan
1971 10 18 nan nan nan
1971 10 19 nan nan nan
1971 10 20 nan nan nan
1971 10 21 1.983000 0 0
1971 10 22 1.795000 0 0
1971 10 23 1.617000 0 0
1971 10 24 1.560000 0 0
1971 10 25 1.617000 0 0
1971 10 26 2.048000 0 0
1971 10 27 1.560000 0 0
1971 10 28 1.504000 0 0
1971 10 29 1.504000 0 0
1971 10 30 1.795000 0 0
1971 10 31 1.504000 0 0
1971 11 01 1.504000 0 0
1971 11 02 2.610000 0 0
1971 11 03 1.617000 0 0
1971 11 04 1.504000 0 0
1971 11 05 1.343000 0 0
1971 11 06 1.343000 0 0
1971 11 07 1.291000 0 0
1971 11 08 1.343000 0 0
1971 11 09 1.291000 0 0
1971 11 10 2.048000 0 0
1971 11 11 1.343000 0 0
1971 11 12 1.343000 0 0
1971 11 13 3.594000 0 0
1971 11 14 1.395000 0 0
1971 11 15 1.143000 0 0
1971 11 16 1.096000 0 0
1971 11 17 1.096000 0 0
1971 11 18 1.096000 0 0
1971 11 19 1.191000 0 0
1971 11 20 2.462000 0 0
1971 11 21 4.249000 0 0
1971 11 22 2.840000 0 0
1971 11 23 4.056000 0 0
1971 11 24 2.762000 0 0
1971 11 25 2.390000 0 0
1971 11 26 2.114000 0 0
1971 11 27 2.610000 0 0
1971 11 28 2.390000 0 0
1971 11 29 2.114000 0 0
1971 11 30 2.048000 0 0
1971 12 01 2.685000 0 0
1971 12 02 2.840000 0 0
1971 12 03 2.250000 0 0
1971 12 04 1.919000 0 0
1971 12 05 3.867000 0 0
1971 12 06 2.390000 0 0
1971 12 07 1.919000 0 0
1971 12 08 1.856000 0 0
1971 12 09 1.795000 0 0
1971 12 10 2.048000 0 0
1971 12 11 1.734000 0 0
1971 12 12 1.560000 0 0
1971 12 13 1.504000 0 0
1971 12 14 21.241000 0 0
1971 12 15 3.247000 0 0
1971 12 16 2.919000 0 0
1971 12 17 2.535000 0 0
1971 12 18 2.250000 0 0
1971 12 19 2.181000 0 0
1971 12 20 3.684000 0 0
1971 12 21 1.856000 0 0
1971 12 22 2.250000 0 0
1971 12 23 4.650000 0 0
1971 12 24 4.249000 0 0
1971 12 25 2.999000 0 0
1971 12 26 2.685000 0 0
1971 12 27 2.762000 0 0
1971 12 28 2.919000 0 0
1971 12 29 2.685000 0 0
1971 12 30 2.685000 0 0
1971 12 31 2.390000 0 0
