year month day potential_evapotransp_gleam
1980 01 01 4.550
1980 01 02 3.928
1980 01 03 4.693
1980 01 04 4.258
1980 01 05 3.947
1980 01 06 4.032
1980 01 07 2.756
1980 01 08 2.801
1980 01 09 2.199
1980 01 10 4.311
1980 01 11 4.603
1980 01 12 4.771
1980 01 13 3.711
1980 01 14 3.518
1980 01 15 2.887
1980 01 16 2.828
1980 01 17 2.680
1980 01 18 3.975
1980 01 19 5.027
1980 01 20 4.380
1980 01 21 4.571
1980 01 22 4.581
1980 01 23 4.435
1980 01 24 2.862
1980 01 25 0.487
1980 01 26 1.106
1980 01 27 2.981
1980 01 28 4.201
1980 01 29 3.295
1980 01 30 4.206
1980 01 31 2.711
1980 02 01 2.197
1980 02 02 3.403
1980 02 03 3.510
1980 02 04 4.581
1980 02 05 4.779
1980 02 06 4.666
1980 02 07 4.007
1980 02 08 4.175
1980 02 09 4.069
1980 02 10 2.891
1980 02 11 3.308
1980 02 12 2.540
1980 02 13 4.074
1980 02 14 3.637
1980 02 15 3.482
1980 02 16 4.384
1980 02 17 2.953
1980 02 18 1.790
1980 02 19 2.985
1980 02 20 3.422
1980 02 21 4.124
1980 02 22 4.118
1980 02 23 3.490
1980 02 24 2.520
1980 02 25 3.286
1980 02 26 2.742
1980 02 27 1.278
1980 02 28 1.287
1980 02 29 1.576
1980 03 01 4.043
1980 03 02 4.425
1980 03 03 3.429
1980 03 04 4.412
1980 03 05 4.266
1980 03 06 4.026
1980 03 07 4.194
1980 03 08 2.830
1980 03 09 3.641
1980 03 10 3.731
1980 03 11 2.854
1980 03 12 3.115
1980 03 13 2.649
1980 03 14 2.480
1980 03 15 2.490
1980 03 16 0.563
1980 03 17 2.630
1980 03 18 3.214
1980 03 19 3.522
1980 03 20 4.002
1980 03 21 3.682
1980 03 22 3.602
1980 03 23 3.716
1980 03 24 3.507
1980 03 25 3.594
1980 03 26 3.937
1980 03 27 3.745
1980 03 28 3.236
1980 03 29 1.235
1980 03 30 2.354
1980 03 31 1.991
1980 04 01 1.936
1980 04 02 2.380
1980 04 03 2.268
1980 04 04 1.545
1980 04 05 2.509
1980 04 06 2.480
1980 04 07 2.181
1980 04 08 1.047
1980 04 09 2.657
1980 04 10 2.568
1980 04 11 2.969
1980 04 12 1.626
1980 04 13 0.863
1980 04 14 0.645
1980 04 15 0.570
1980 04 16 1.257
1980 04 17 0.826
1980 04 18 2.776
1980 04 19 2.607
1980 04 20 3.027
1980 04 21 2.698
1980 04 22 2.546
1980 04 23 2.386
1980 04 24 2.333
1980 04 25 1.853
1980 04 26 1.698
1980 04 27 1.936
1980 04 28 2.105
1980 04 29 2.621
1980 04 30 2.348
1980 05 01 0.433
1980 05 02 0.479
1980 05 03 0.356
1980 05 04 1.948
1980 05 05 1.701
1980 05 06 1.755
1980 05 07 1.587
1980 05 08 0.510
1980 05 09 1.311
1980 05 10 1.047
1980 05 11 1.499
1980 05 12 1.535
1980 05 13 1.345
1980 05 14 1.836
1980 05 15 1.986
1980 05 16 1.934
1980 05 17 1.402
1980 05 18 1.507
1980 05 19 1.451
1980 05 20 1.173
1980 05 21 0.312
1980 05 22 1.919
1980 05 23 1.261
1980 05 24 1.029
1980 05 25 1.212
1980 05 26 1.323
1980 05 27 1.666
1980 05 28 1.667
1980 05 29 1.361
1980 05 30 1.912
1980 05 31 1.660
1980 06 01 1.490
1980 06 02 0.313
1980 06 03 1.551
1980 06 04 0.824
1980 06 05 1.329
1980 06 06 1.056
1980 06 07 1.651
1980 06 08 1.366
1980 06 09 1.112
1980 06 10 1.489
1980 06 11 1.397
1980 06 12 1.177
1980 06 13 0.026
1980 06 14 0.983
1980 06 15 0.643
1980 06 16 0.861
1980 06 17 1.352
1980 06 18 1.016
1980 06 19 1.312
1980 06 20 0.320
1980 06 21 0.390
1980 06 22 0.543
1980 06 23 0.620
1980 06 24 0.413
1980 06 25 0.471
1980 06 26 1.051
1980 06 27 0.682
1980 06 28 0.935
1980 06 29 1.424
1980 06 30 1.379
1980 07 01 -0.025
1980 07 02 0.126
1980 07 03 0.187
1980 07 04 0.432
1980 07 05 0.561
1980 07 06 1.072
1980 07 07 0.966
1980 07 08 1.470
1980 07 09 0.530
1980 07 10 0.312
1980 07 11 0.338
1980 07 12 0.856
1980 07 13 1.343
1980 07 14 1.537
1980 07 15 1.133
1980 07 16 1.036
1980 07 17 1.402
1980 07 18 1.491
1980 07 19 1.462
1980 07 20 1.586
1980 07 21 0.867
1980 07 22 1.208
1980 07 23 1.222
1980 07 24 1.474
1980 07 25 1.742
1980 07 26 1.798
1980 07 27 1.799
1980 07 28 1.328
1980 07 29 0.734
1980 07 30 0.152
1980 07 31 1.401
1980 08 01 1.491
1980 08 02 1.372
1980 08 03 1.199
1980 08 04 2.002
1980 08 05 1.327
1980 08 06 1.603
1980 08 07 1.723
1980 08 08 0.475
1980 08 09 1.384
1980 08 10 1.045
1980 08 11 1.488
1980 08 12 0.855
1980 08 13 0.874
1980 08 14 1.765
1980 08 15 2.472
1980 08 16 2.247
1980 08 17 0.935
1980 08 18 0.504
1980 08 19 1.478
1980 08 20 0.871
1980 08 21 2.122
1980 08 22 0.416
1980 08 23 1.039
1980 08 24 0.769
1980 08 25 0.826
1980 08 26 2.083
1980 08 27 2.308
1980 08 28 1.170
1980 08 29 0.854
1980 08 30 1.855
1980 08 31 1.789
1980 09 01 0.850
1980 09 02 0.762
1980 09 03 1.741
1980 09 04 2.351
1980 09 05 1.203
1980 09 06 2.769
1980 09 07 2.504
1980 09 08 2.681
1980 09 09 1.119
1980 09 10 1.262
1980 09 11 1.210
1980 09 12 1.186
1980 09 13 1.073
1980 09 14 1.873
1980 09 15 1.189
1980 09 16 2.453
1980 09 17 2.209
1980 09 18 1.938
1980 09 19 1.442
1980 09 20 1.129
1980 09 21 1.465
1980 09 22 2.397
1980 09 23 1.748
1980 09 24 1.672
1980 09 25 3.209
1980 09 26 1.973
1980 09 27 1.231
1980 09 28 0.489
1980 09 29 2.515
1980 09 30 3.329
1980 10 01 2.150
1980 10 02 3.091
1980 10 03 3.543
1980 10 04 4.082
1980 10 05 0.486
1980 10 06 2.127
1980 10 07 0.409
1980 10 08 0.837
1980 10 09 3.246
1980 10 10 1.672
1980 10 11 1.019
1980 10 12 0.856
1980 10 13 1.438
1980 10 14 2.993
1980 10 15 2.359
1980 10 16 3.298
1980 10 17 3.415
1980 10 18 3.765
1980 10 19 3.687
1980 10 20 3.498
1980 10 21 2.674
1980 10 22 1.823
1980 10 23 0.866
1980 10 24 0.772
1980 10 25 1.967
1980 10 26 3.943
1980 10 27 3.648
1980 10 28 2.956
1980 10 29 1.708
1980 10 30 1.539
1980 10 31 2.551
1980 11 01 1.192
1980 11 02 2.353
1980 11 03 2.495
1980 11 04 3.691
1980 11 05 4.044
1980 11 06 2.585
1980 11 07 2.391
1980 11 08 2.756
1980 11 09 2.947
1980 11 10 1.327
1980 11 11 0.826
1980 11 12 1.377
1980 11 13 2.533
1980 11 14 3.216
1980 11 15 4.066
1980 11 16 4.382
1980 11 17 2.348
1980 11 18 2.854
1980 11 19 2.176
1980 11 20 4.086
1980 11 21 3.640
1980 11 22 4.432
1980 11 23 1.934
1980 11 24 0.923
1980 11 25 3.875
1980 11 26 4.351
1980 11 27 4.463
1980 11 28 1.832
1980 11 29 1.339
1980 11 30 1.585
1980 12 01 2.175
1980 12 02 2.081
1980 12 03 5.027
1980 12 04 4.170
1980 12 05 3.940
1980 12 06 3.154
1980 12 07 3.409
1980 12 08 3.852
1980 12 09 4.748
1980 12 10 4.458
1980 12 11 4.306
1980 12 12 1.876
1980 12 13 1.776
1980 12 14 5.222
1980 12 15 4.966
1980 12 16 4.966
1980 12 17 5.247
1980 12 18 5.294
1980 12 19 2.540
1980 12 20 1.621
1980 12 21 0.765
1980 12 22 1.227
1980 12 23 1.658
1980 12 24 2.078
1980 12 25 3.346
1980 12 26 2.699
1980 12 27 1.764
1980 12 28 2.679
1980 12 29 4.181
1980 12 30 3.356
1980 12 31 3.315
1981 01 01 4.629
1981 01 02 4.934
1981 01 03 4.805
1981 01 04 2.970
1981 01 05 2.096
1981 01 06 3.007
1981 01 07 2.778
1981 01 08 0.794
1981 01 09 1.835
1981 01 10 2.490
1981 01 11 2.346
1981 01 12 3.517
1981 01 13 4.081
1981 01 14 2.200
1981 01 15 3.277
1981 01 16 2.776
1981 01 17 3.088
1981 01 18 2.858
1981 01 19 2.687
1981 01 20 3.316
1981 01 21 1.747
1981 01 22 1.691
1981 01 23 2.291
1981 01 24 2.352
1981 01 25 3.065
1981 01 26 3.414
1981 01 27 4.299
1981 01 28 4.753
1981 01 29 5.278
1981 01 30 1.406
1981 01 31 1.276
1981 02 01 3.805
1981 02 02 4.819
1981 02 03 3.690
1981 02 04 4.022
1981 02 05 1.225
1981 02 06 0.812
1981 02 07 1.824
1981 02 08 3.941
1981 02 09 4.821
1981 02 10 4.478
1981 02 11 4.609
1981 02 12 4.647
1981 02 13 4.299
1981 02 14 2.922
1981 02 15 4.805
1981 02 16 4.614
1981 02 17 3.746
1981 02 18 3.761
1981 02 19 3.947
1981 02 20 3.245
1981 02 21 2.846
1981 02 22 2.022
1981 02 23 2.613
1981 02 24 3.275
1981 02 25 3.833
1981 02 26 3.658
1981 02 27 3.761
1981 02 28 4.311
1981 03 01 1.635
1981 03 02 3.733
1981 03 03 4.188
1981 03 04 1.211
1981 03 05 1.335
1981 03 06 2.937
1981 03 07 2.346
1981 03 08 2.867
1981 03 09 2.803
1981 03 10 3.308
1981 03 11 3.812
1981 03 12 3.515
1981 03 13 3.290
1981 03 14 3.444
1981 03 15 3.648
1981 03 16 0.889
1981 03 17 1.335
1981 03 18 1.335
1981 03 19 2.234
1981 03 20 3.450
1981 03 21 1.287
1981 03 22 3.552
1981 03 23 2.705
1981 03 24 3.471
1981 03 25 1.664
1981 03 26 2.210
1981 03 27 1.850
1981 03 28 1.592
1981 03 29 1.448
1981 03 30 3.121
1981 03 31 2.587
1981 04 01 2.305
1981 04 02 1.481
1981 04 03 2.263
1981 04 04 3.147
1981 04 05 1.859
1981 04 06 2.606
