year month day precipitation_cpc
1980 01 01 6.087
1980 01 02 0.007
1980 01 03 0.000
1980 01 04 0.000
1980 01 05 0.000
1980 01 06 0.948
1980 01 07 37.306
1980 01 08 6.253
1980 01 09 6.119
1980 01 10 21.023
1980 01 11 0.586
1980 01 12 1.285
1980 01 13 0.911
1980 01 14 0.000
1980 01 15 0.000
1980 01 16 0.024
1980 01 17 0.302
1980 01 18 1.037
1980 01 19 14.740
1980 01 20 2.195
1980 01 21 7.773
1980 01 22 2.151
1980 01 23 5.790
1980 01 24 33.765
1980 01 25 34.803
1980 01 26 52.146
1980 01 27 0.783
1980 01 28 0.221
1980 01 29 4.264
1980 01 30 0.092
1980 01 31 0.006
1980 02 01 5.212
1980 02 02 7.999
1980 02 03 0.025
1980 02 04 0.000
1980 02 05 0.059
1980 02 06 0.000
1980 02 07 2.286
1980 02 08 7.521
1980 02 09 0.123
1980 02 10 18.256
1980 02 11 17.159
1980 02 12 9.565
1980 02 13 10.472
1980 02 14 4.869
1980 02 15 0.295
1980 02 16 1.426
1980 02 17 2.002
1980 02 18 7.181
1980 02 19 2.914
1980 02 20 0.759
1980 02 21 0.013
1980 02 22 0.172
1980 02 23 0.139
1980 02 24 12.017
1980 02 25 2.745
1980 02 26 12.932
1980 02 27 38.412
1980 02 28 28.152
1980 02 29 23.388
1980 03 01 14.671
1980 03 02 0.115
1980 03 03 2.787
1980 03 04 3.190
1980 03 05 0.953
1980 03 06 1.706
1980 03 07 2.239
1980 03 08 2.302
1980 03 09 7.463
1980 03 10 2.609
1980 03 11 0.933
1980 03 12 8.167
1980 03 13 6.341
1980 03 14 12.027
1980 03 15 10.280
1980 03 16 56.934
1980 03 17 5.222
1980 03 18 0.292
1980 03 19 2.783
1980 03 20 0.335
1980 03 21 0.000
1980 03 22 0.000
1980 03 23 0.000
1980 03 24 0.000
1980 03 25 0.073
1980 03 26 0.363
1980 03 27 0.097
1980 03 28 0.000
1980 03 29 2.017
1980 03 30 7.337
1980 03 31 0.373
1980 04 01 0.000
1980 04 02 0.650
1980 04 03 1.201
1980 04 04 9.471
1980 04 05 9.843
1980 04 06 5.461
1980 04 07 0.000
1980 04 08 0.000
1980 04 09 0.845
1980 04 10 2.294
1980 04 11 1.585
1980 04 12 0.291
1980 04 13 25.862
1980 04 14 23.361
1980 04 15 19.474
1980 04 16 0.548
1980 04 17 0.109
1980 04 18 0.000
1980 04 19 0.006
1980 04 20 0.003
1980 04 21 0.006
1980 04 22 0.000
1980 04 23 0.000
