year month day precipitation_mswep
1980 01 01 28.171
1980 01 02 15.550
1980 01 03 0.113
1980 01 04 0.681
1980 01 05 1.808
1980 01 06 0.997
1980 01 07 0.473
1980 01 08 0.459
1980 01 09 0.647
1980 01 10 2.836
1980 01 11 18.392
1980 01 12 28.006
1980 01 13 21.014
1980 01 14 4.612
1980 01 15 15.690
1980 01 16 34.458
1980 01 17 18.789
1980 01 18 11.644
1980 01 19 6.662
1980 01 20 2.954
1980 01 21 6.511
1980 01 22 15.982
1980 01 23 4.505
1980 01 24 7.948
1980 01 25 8.311
1980 01 26 18.201
1980 01 27 15.673
1980 01 28 21.071
1980 01 29 9.573
1980 01 30 0.556
1980 01 31 1.021
1980 02 01 6.596
1980 02 02 16.760
1980 02 03 5.467
1980 02 04 0.521
1980 02 05 0.019
1980 02 06 0.000
1980 02 07 0.032
1980 02 08 0.677
1980 02 09 4.814
1980 02 10 0.003
1980 02 11 0.002
1980 02 12 0.686
1980 02 13 11.930
1980 02 14 6.618
1980 02 15 5.524
1980 02 16 7.253
1980 02 17 1.851
1980 02 18 12.453
1980 02 19 19.310
1980 02 20 1.281
1980 02 21 2.532
1980 02 22 4.920
1980 02 23 0.342
1980 02 24 0.265
1980 02 25 0.653
1980 02 26 0.185
1980 02 27 0.740
1980 02 28 14.685
1980 02 29 3.201
1980 03 01 0.043
1980 03 02 0.052
1980 03 03 0.539
1980 03 04 1.090
1980 03 05 0.319
1980 03 06 0.018
1980 03 07 0.018
1980 03 08 0.000
1980 03 09 0.000
1980 03 10 0.025
1980 03 11 1.995
1980 03 12 1.586
1980 03 13 0.168
1980 03 14 3.113
1980 03 15 11.794
1980 03 16 1.103
1980 03 17 0.047
1980 03 18 0.000
1980 03 19 0.220
1980 03 20 0.030
1980 03 21 0.094
1980 03 22 0.001
1980 03 23 0.000
1980 03 24 0.000
1980 03 25 0.000
1980 03 26 0.000
1980 03 27 0.000
1980 03 28 0.000
1980 03 29 0.130
1980 03 30 0.749
1980 03 31 5.592
1980 04 01 1.510
1980 04 02 4.760
1980 04 03 5.373
1980 04 04 3.510
1980 04 05 10.761
1980 04 06 9.195
1980 04 07 2.074
1980 04 08 27.479
1980 04 09 7.930
1980 04 10 8.489
1980 04 11 6.033
1980 04 12 6.937
1980 04 13 20.947
1980 04 14 7.202
1980 04 15 9.428
1980 04 16 0.852
1980 04 17 2.677
1980 04 18 5.484
1980 04 19 0.077
1980 04 20 0.001
1980 04 21 0.280
1980 04 22 0.001
1980 04 23 0.005
1980 04 24 0.002
1980 04 25 0.147
1980 04 26 0.108
1980 04 27 0.273
1980 04 28 0.606
1980 04 29 0.378
1980 04 30 0.012
1980 05 01 0.688
1980 05 02 3.152
1980 05 03 16.031
1980 05 04 0.897
1980 05 05 0.136
1980 05 06 0.000
1980 05 07 0.000
1980 05 08 0.000
1980 05 09 0.000
1980 05 10 0.000
1980 05 11 0.002
