year month day simulated_streamflow_m3s
1980 01 01 68.9069
1980 01 02 64.3107
1980 01 03 61.1814
1980 01 04 58.6639
1980 01 05 56.4977
1980 01 06 54.6802
1980 01 07 67.2563
1980 01 08 62.9017
1980 01 09 77.5592
1980 01 10 83.6921
1980 01 11 73.2287
1980 01 12 61.4512
1980 01 13 55.5395
1980 01 14 51.7120
1980 01 15 48.9280
1980 01 16 46.8095
1980 01 17 56.4606
1980 01 18 55.4942
1980 01 19 49.6222
1980 01 20 46.1758
1980 01 21 43.5194
1980 01 22 41.5538
1980 01 23 39.9860
1980 01 24 53.2022
1980 01 25 65.6930
1980 01 26 49.9472
1980 01 27 43.5090
1980 01 28 40.2328
1980 01 29 38.0014
1980 01 30 36.3897
1980 01 31 54.8272
1980 02 01 107.6942
1980 02 02 71.9135
1980 02 03 58.0259
1980 02 04 50.5052
1980 02 05 46.0355
1980 02 06 47.9274
1980 02 07 44.5085
1980 02 08 41.1405
1980 02 09 38.7249
1980 02 10 41.8352
1980 02 11 86.9855
1980 02 12 59.3606
1980 02 13 49.8914
1980 02 14 44.9739
1980 02 15 41.6684
1980 02 16 43.5656
1980 02 17 82.8075
1980 02 18 106.0426
1980 02 19 75.3289
1980 02 20 63.1772
1980 02 21 61.0912
1980 02 22 55.8953
1980 02 23 52.4286
1980 02 24 87.1852
1980 02 25 113.0925
1980 02 26 182.4834
1980 02 27 139.2452
1980 02 28 113.7094
1980 02 29 97.0557
1980 03 01 82.1950
1980 03 02 85.1644
1980 03 03 110.0776
1980 03 04 89.7477
1980 03 05 77.4321
1980 03 06 69.1852
1980 03 07 118.2648
1980 03 08 177.8177
1980 03 09 111.7802
1980 03 10 92.1958
1980 03 11 83.1856
1980 03 12 95.7572
1980 03 13 206.0229
1980 03 14 143.3049
1980 03 15 108.7846
1980 03 16 95.2538
1980 03 17 86.6622
1980 03 18 80.4073
1980 03 19 75.5120
1980 03 20 71.4341
1980 03 21 67.9850
1980 03 22 64.9827
1980 03 23 62.3095
1980 03 24 59.9027
1980 03 25 61.1120
1980 03 26 65.6477
1980 03 27 67.1796
1980 03 28 61.6776
1980 03 29 57.0215
1980 03 30 64.1140
1980 03 31 55.7283
1980 04 01 51.6159
1980 04 02 48.9132
1980 04 03 46.8044
1980 04 04 45.0458
1980 04 05 43.5170
1980 04 06 42.1509
1980 04 07 40.9028
1980 04 08 39.7437
1980 04 09 38.6719
1980 04 10 37.8414
1980 04 11 38.3463
1980 04 12 46.8550
1980 04 13 128.3077
1980 04 14 136.3588
1980 04 15 161.9007
1980 04 16 104.3106
1980 04 17 85.3071
1980 04 18 73.8234
1980 04 19 66.0160
1980 04 20 60.3900
1980 04 21 56.1639
1980 04 22 52.8876
1980 04 23 50.2688
1980 04 24 48.1056
1980 04 25 46.2658
1980 04 26 44.6587
1980 04 27 43.2224
1980 04 28 41.9141
1980 04 29 40.7040
1980 04 30 39.7377
1980 05 01 59.5607
1980 05 02 97.2168
1980 05 03 75.9221
1980 05 04 60.3518
1980 05 05 53.1346
1980 05 06 49.0724
1980 05 07 46.7518
1980 05 08 105.5806
1980 05 09 96.6487
1980 05 10 394.0599
1980 05 11 190.1057
1980 05 12 139.9100
1980 05 13 112.9608
1980 05 14 96.3283
1980 05 15 84.9373
1980 05 16 79.3184
1980 05 17 76.4810
1980 05 18 69.3476
1980 05 19 83.5668
1980 05 20 70.5562
1980 05 21 73.2132
1980 05 22 77.0490
1980 05 23 66.4480
1980 05 24 61.6647
1980 05 25 58.7188
1980 05 26 56.4171
1980 05 27 54.4510
1980 05 28 52.7199
1980 05 29 56.7145
1980 05 30 52.8340
1980 05 31 55.4527
1980 06 01 62.3179
1980 06 02 55.1265
1980 06 03 50.9223
1980 06 04 51.0653
1980 06 05 48.5130
1980 06 06 47.5029
1980 06 07 45.1827
1980 06 08 43.4707
1980 06 09 42.0664
1980 06 10 40.8441
1980 06 11 41.3759
1980 06 12 46.4342
1980 06 13 55.0195
1980 06 14 46.5377
1980 06 15 42.3378
1980 06 16 39.9043
1980 06 17 38.1619
1980 06 18 36.8032
1980 06 19 36.4315
1980 06 20 44.2167
1980 06 21 40.8457
1980 06 22 37.5599
1980 06 23 35.4813
1980 06 24 34.0893
1980 06 25 50.2675
1980 06 26 45.2486
1980 06 27 44.2296
1980 06 28 39.6186
1980 06 29 36.6001
1980 06 30 37.2387
1980 07 01 53.9725
1980 07 02 43.5185
1980 07 03 38.7452
1980 07 04 36.5801
1980 07 05 34.9942
1980 07 06 33.8130
1980 07 07 33.4364
1980 07 08 45.5148
1980 07 09 62.4220
1980 07 10 47.1559
1980 07 11 41.0940
1980 07 12 38.1183
1980 07 13 45.0423
1980 07 14 67.3656
1980 07 15 53.8448
1980 07 16 46.6591
1980 07 17 42.8112
1980 07 18 40.2617
1980 07 19 38.3749
1980 07 20 49.9850
1980 07 21 95.4041
1980 07 22 67.0149
1980 07 23 56.5193
1980 07 24 50.7402
1980 07 25 46.8397
1980 07 26 48.7396
1980 07 27 72.4190
1980 07 28 63.5523
1980 07 29 762.2302
1980 07 30 1115.3492
1980 07 31 1148.1969
1980 08 01 932.1658
1980 08 02 664.1288
1980 08 03 489.3464
1980 08 04 362.3293
1980 08 05 244.3528
1980 08 06 136.7833
1980 08 07 108.1504
1980 08 08 89.7007
1980 08 09 79.0334
1980 08 10 72.5028
1980 08 11 66.3742
1980 08 12 61.9410
1980 08 13 58.6246
1980 08 14 56.9805
1980 08 15 53.4993
1980 08 16 51.2060
1980 08 17 113.2751
1980 08 18 138.2207
1980 08 19 298.0750
1980 08 20 567.3309
1980 08 21 639.6509
1980 08 22 733.4354
1980 08 23 758.1141
1980 08 24 594.2260
1980 08 25 445.1076
1980 08 26 299.1080
1980 08 27 154.5217
1980 08 28 128.6669
1980 08 29 111.7172
1980 08 30 100.3118
1980 08 31 99.6964
1980 09 01 110.9982
1980 09 02 140.0402
1980 09 03 122.7608
1980 09 04 100.1019
1980 09 05 91.0615
1980 09 06 84.8388
1980 09 07 80.1545
1980 09 08 79.6352
1980 09 09 234.5029
1980 09 10 142.8413
1980 09 11 115.3162
1980 09 12 102.2720
1980 09 13 93.7196
1980 09 14 88.3910
1980 09 15 189.0085
1980 09 16 265.5394
1980 09 17 159.2927
1980 09 18 131.4704
1980 09 19 115.6770
1980 09 20 108.3168
1980 09 21 106.9149
1980 09 22 97.0616
1980 09 23 89.8907
1980 09 24 85.0559
1980 09 25 81.1305
1980 09 26 77.7617
1980 09 27 74.7732
1980 09 28 99.3612
1980 09 29 93.4971
1980 09 30 81.2736
1980 10 01 75.9926
1980 10 02 71.2335
1980 10 03 67.9533
1980 10 04 70.3560
1980 10 05 83.6228
1980 10 06 69.4499
1980 10 07 64.0362
1980 10 08 71.8198
1980 10 09 70.9231
1980 10 10 63.0500
1980 10 11 59.4941
1980 10 12 57.7901
1980 10 13 55.4470
1980 10 14 53.1357
1980 10 15 51.1845
