year month day simulated_streamflow_m3s
1980 01 01 47.3133
1980 01 02 68.2903
1980 01 03 95.3546
1980 01 04 125.0560
1980 01 05 182.0116
1980 01 06 215.3077
1980 01 07 246.0354
1980 01 08 244.3046
1980 01 09 221.9160
1980 01 10 192.0301
1980 01 11 158.6243
1980 01 12 127.2726
1980 01 13 109.3063
1980 01 14 140.0873
1980 01 15 194.8594
1980 01 16 251.6448
1980 01 17 289.0486
1980 01 18 285.7420
1980 01 19 271.0386
1980 01 20 235.4177
1980 01 21 197.7023
1980 01 22 160.1701
1980 01 23 122.4996
1980 01 24 98.3062
1980 01 25 86.0622
1980 01 26 78.8644
1980 01 27 71.7719
1980 01 28 67.0023
1980 01 29 79.8595
1980 01 30 112.6453
1980 01 31 183.9283
1980 02 01 258.8383
1980 02 02 324.7639
1980 02 03 393.7361
1980 02 04 490.1516
1980 02 05 706.9855
1980 02 06 848.1110
1980 02 07 857.3068
1980 02 08 893.1552
1980 02 09 951.4225
1980 02 10 1002.1472
1980 02 11 1022.9825
1980 02 12 1005.7519
1980 02 13 928.0980
1980 02 14 748.6748
1980 02 15 629.0973
1980 02 16 522.3264
1980 02 17 441.8958
1980 02 18 416.6801
1980 02 19 458.7828
1980 02 20 507.7354
1980 02 21 625.0978
1980 02 22 635.7977
1980 02 23 645.0877
1980 02 24 621.5703
1980 02 25 556.4440
1980 02 26 460.9004
1980 02 27 381.5860
1980 02 28 313.5018
1980 02 29 230.5994
1980 03 01 197.9537
1980 03 02 175.4336
1980 03 03 161.4340
1980 03 04 157.2185
1980 03 05 152.6770
1980 03 06 142.8353
1980 03 07 124.1076
1980 03 08 109.7928
1980 03 09 96.6755
1980 03 10 84.7142
1980 03 11 75.6607
1980 03 12 69.0220
1980 03 13 62.2658
1980 03 14 56.6782
1980 03 15 51.6739
1980 03 16 52.0271
1980 03 17 64.2446
1980 03 18 70.6223
1980 03 19 68.5116
1980 03 20 74.9251
1980 03 21 73.4617
1980 03 22 68.3323
1980 03 23 63.3410
1980 03 24 57.9202
1980 03 25 52.5582
1980 03 26 47.6337
1980 03 27 43.2584
1980 03 28 39.5849
1980 03 29 36.5706
1980 03 30 34.1033
1980 03 31 32.0536
1980 04 01 30.4811
1980 04 02 29.0820
1980 04 03 28.5707
1980 04 04 27.9144
1980 04 05 26.9851
1980 04 06 26.1613
1980 04 07 25.5284
1980 04 08 25.0194
1980 04 09 24.4308
1980 04 10 23.7460
1980 04 11 23.6367
1980 04 12 25.5574
1980 04 13 30.6015
1980 04 14 35.1785
1980 04 15 35.2299
1980 04 16 32.9362
1980 04 17 30.0867
1980 04 18 29.0726
1980 04 19 30.9774
1980 04 20 34.3636
1980 04 21 37.0684
1980 04 22 36.7863
1980 04 23 37.8050
1980 04 24 38.0857
1980 04 25 37.0149
1980 04 26 34.6382
1980 04 27 32.0712
1980 04 28 30.6473
1980 04 29 29.4291
1980 04 30 27.9513
1980 05 01 26.6947
1980 05 02 24.1285
1980 05 03 21.2356
1980 05 04 18.8366
1980 05 05 16.9133
1980 05 06 17.4179
1980 05 07 18.8391
1980 05 08 18.8938
1980 05 09 18.0125
1980 05 10 17.1488
1980 05 11 16.6106
1980 05 12 17.4217
1980 05 13 17.7891
1980 05 14 20.0000
1980 05 15 22.6454
1980 05 16 22.6716
1980 05 17 27.1264
1980 05 18 27.9523
1980 05 19 25.1282
1980 05 20 22.6096
1980 05 21 20.7511
1980 05 22 20.6686
1980 05 23 18.7245
1980 05 24 16.7560
1980 05 25 15.5053
1980 05 26 14.3223
1980 05 27 13.2855
1980 05 28 12.2599
1980 05 29 11.7515
1980 05 30 11.0966
1980 05 31 10.6225
1980 06 01 11.0744
1980 06 02 11.3658
1980 06 03 11.1376
1980 06 04 10.1704
1980 06 05 9.5830
1980 06 06 9.6545
1980 06 07 11.2380
1980 06 08 11.9256
1980 06 09 12.9726
1980 06 10 13.3266
1980 06 11 13.0963
1980 06 12 12.2345
1980 06 13 11.0440
1980 06 14 9.7842
1980 06 15 8.9173
1980 06 16 8.9565
1980 06 17 11.7636
1980 06 18 12.1134
1980 06 19 12.0385
1980 06 20 12.6282
1980 06 21 13.0603
1980 06 22 12.2298
1980 06 23 10.8546
1980 06 24 9.5790
1980 06 25 8.4108
1980 06 26 7.4296
