year month day simulated_streamflow_m3s
1980 01 01 22.0370
1980 01 02 21.0891
1980 01 03 20.2606
1980 01 04 19.5358
1980 01 05 18.9003
1980 01 06 18.3419
1980 01 07 23.9355
1980 01 08 24.4264
1980 01 09 26.3886
1980 01 10 32.2954
1980 01 11 31.0401
1980 01 12 29.1400
1980 01 13 27.3873
1980 01 14 25.7437
1980 01 15 24.3358
1980 01 16 23.1501
1980 01 17 22.5628
1980 01 18 22.7725
1980 01 19 23.8001
1980 01 20 24.5677
1980 01 21 23.5130
1980 01 22 27.1754
1980 01 23 27.1341
1980 01 24 41.9102
1980 01 25 65.8994
1980 01 26 113.7995
1980 01 27 103.2267
1980 01 28 91.7406
1980 01 29 85.8388
1980 01 30 76.4882
1980 01 31 68.4184
1980 02 01 61.6912
1980 02 02 56.3880
1980 02 03 51.0823
1980 02 04 46.5029
1980 02 05 42.5497
1980 02 06 39.1359
1980 02 07 37.6329
1980 02 08 38.8316
1980 02 09 35.9639
1980 02 10 38.1273
1980 02 11 43.2780
1980 02 12 46.6127
1980 02 13 55.6156
1980 02 14 51.3322
1980 02 15 46.9729
1980 02 16 43.8064
1980 02 17 44.1746
1980 02 18 47.2563
1980 02 19 46.8695
1980 02 20 43.0699
1980 02 21 39.7849
1980 02 22 36.9472
1980 02 23 34.6989
1980 02 24 33.8777
1980 02 25 31.9476
1980 02 26 34.7565
1980 02 27 51.0853
1980 02 28 56.7603
1980 02 29 64.5819
1980 03 01 59.4017
1980 03 02 54.0503
1980 03 03 58.9576
1980 03 04 53.6989
1980 03 05 49.1787
1980 03 06 45.4219
1980 03 07 42.7715
1980 03 08 44.0454
1980 03 09 43.6456
1980 03 10 50.5434
1980 03 11 47.2178
1980 03 12 44.2249
1980 03 13 41.2380
1980 03 14 41.5112
1980 03 15 41.6233
1980 03 16 43.1702
1980 03 17 40.2573
1980 03 18 37.6361
1980 03 19 36.5162
1980 03 20 34.3979
1980 03 21 32.5616
1980 03 22 30.9688
1980 03 23 29.5855
1980 03 24 28.3821
1980 03 25 27.3448
1980 03 26 26.4283
1980 03 27 25.6268
1980 03 28 24.9241
1980 03 29 24.5232
1980 03 30 29.7479
1980 03 31 28.5821
1980 04 01 27.4703
1980 04 02 26.4998
1980 04 03 26.1193
1980 04 04 28.6783
1980 04 05 28.9735
1980 04 06 27.9109
1980 04 07 26.8609
1980 04 08 25.9437
1980 04 09 25.1531
1980 04 10 24.6106
1980 04 11 23.9686
1980 04 12 23.4143
1980 04 13 32.1891
1980 04 14 35.0838
1980 04 15 43.8980
1980 04 16 40.8032
1980 04 17 38.0575
1980 04 18 35.6388
1980 04 19 33.5443
1980 04 20 31.7297
1980 04 21 30.1551
