year month day simulated_streamflow_m3s
1980 01 01 317.3250
1980 01 02 342.8562
1980 01 03 371.9673
1980 01 04 409.9786
1980 01 05 417.0594
1980 01 06 413.4919
1980 01 07 406.0116
1980 01 08 390.1510
1980 01 09 370.8624
1980 01 10 348.0326
1980 01 11 335.1416
1980 01 12 354.3305
1980 01 13 391.1936
1980 01 14 420.4399
1980 01 15 435.5616
1980 01 16 455.5566
1980 01 17 471.9706
1980 01 18 475.6772
1980 01 19 463.1226
1980 01 20 443.2434
1980 01 21 424.0845
1980 01 22 395.5634
1980 01 23 364.0635
1980 01 24 325.0579
1980 01 25 300.3827
1980 01 26 285.1148
1980 01 27 281.3199
1980 01 28 305.2011
1980 01 29 348.3462
1980 01 30 421.3627
1980 01 31 485.2847
1980 02 01 521.9722
1980 02 02 543.8307
1980 02 03 552.4761
1980 02 04 562.2415
1980 02 05 606.8307
1980 02 06 633.7058
1980 02 07 668.1963
1980 02 08 718.0504
1980 02 09 777.3138
1980 02 10 812.1904
1980 02 11 842.2059
1980 02 12 862.8577
1980 02 13 893.2221
1980 02 14 937.3646
1980 02 15 963.2381
1980 02 16 976.9766
1980 02 17 994.6821
1980 02 18 1027.9780
1980 02 19 1057.5098
1980 02 20 1093.3735
1980 02 21 1181.4952
1980 02 22 1304.5575
1980 02 23 1391.4559
1980 02 24 1433.7668
1980 02 25 1452.6151
1980 02 26 1434.7061
1980 02 27 1376.8654
1980 02 28 1318.7427
1980 02 29 1279.6814
1980 03 01 1221.5560
1980 03 02 1170.3053
1980 03 03 1124.6176
1980 03 04 1079.5857
1980 03 05 1037.6110
1980 03 06 1009.3870
1980 03 07 989.4321
1980 03 08 954.0989
1980 03 09 927.2134
1980 03 10 901.3837
1980 03 11 866.5716
1980 03 12 819.0011
1980 03 13 753.7615
1980 03 14 688.5393
1980 03 15 636.3262
1980 03 16 588.8741
1980 03 17 568.4982
1980 03 18 536.9678
1980 03 19 508.5939
1980 03 20 487.6834
1980 03 21 471.6878
1980 03 22 455.8449
1980 03 23 438.5404
1980 03 24 421.5059
1980 03 25 405.7524
1980 03 26 393.6294
1980 03 27 383.7322
1980 03 28 375.4168
1980 03 29 368.2879
1980 03 30 362.0681
1980 03 31 356.5552
1980 04 01 351.5149
1980 04 02 359.7340
1980 04 03 393.0605
1980 04 04 423.5447
1980 04 05 443.2989
1980 04 06 447.2133
1980 04 07 451.4576
1980 04 08 486.8538
1980 04 09 545.7404
1980 04 10 581.4361
1980 04 11 606.6314
1980 04 12 616.9187
1980 04 13 618.9513
1980 04 14 613.3815
1980 04 15 597.0721
1980 04 16 562.2791
1980 04 17 520.4505
1980 04 18 483.9475
1980 04 19 440.3998
1980 04 20 406.7674
1980 04 21 383.6160
1980 04 22 366.5461
1980 04 23 352.5170
1980 04 24 340.2837
1980 04 25 329.1083
1980 04 26 320.8375
1980 04 27 314.6094
1980 04 28 309.6535
1980 04 29 305.2157
1980 04 30 301.1078
1980 05 01 297.8642
1980 05 02 295.0341
1980 05 03 292.5026
1980 05 04 290.2216
1980 05 05 294.7062
1980 05 06 298.4077
1980 05 07 294.2232
1980 05 08 290.3531
1980 05 09 287.0702
1980 05 10 284.0102
1980 05 11 281.2961
1980 05 12 278.9372
1980 05 13 276.7197
1980 05 14 274.8060
1980 05 15 273.1257
1980 05 16 271.5906
1980 05 17 270.6095
1980 05 18 269.2925
1980 05 19 267.9001
1980 05 20 267.0926
1980 05 21 267.6610
1980 05 22 267.0078
1980 05 23 265.0892
1980 05 24 263.2808
1980 05 25 261.9055
1980 05 26 260.7466
1980 05 27 259.7129
1980 05 28 258.7639
1980 05 29 257.8778
1980 05 30 257.0411
1980 05 31 256.2452
1980 06 01 255.4838
1980 06 02 254.7458
1980 06 03 253.9142
1980 06 04 253.2267
1980 06 05 252.5703
1980 06 06 251.9338
1980 06 07 251.3155
1980 06 08 250.7144
1980 06 09 250.1292
1980 06 10 249.5602
1980 06 11 249.0033
1980 06 12 248.4607
1980 06 13 247.9307
1980 06 14 247.4126
1980 06 15 246.9056
1980 06 16 246.4091
1980 06 17 245.9225
1980 06 18 245.4451
1980 06 19 244.9763
1980 06 20 244.5155
1980 06 21 244.0623
1980 06 22 243.6162
1980 06 23 243.1767
1980 06 24 242.7434
1980 06 25 242.3157
1980 06 26 241.8934
1980 06 27 241.4757
1980 06 28 241.0626
1980 06 29 240.6535
1980 06 30 240.2483
1980 07 01 239.8465
1980 07 02 239.4476
1980 07 03 239.0512
1980 07 04 238.6569
1980 07 05 238.2644
1980 07 06 237.8733
1980 07 07 237.4832
1980 07 08 237.0941
1980 07 09 236.7057
1980 07 10 236.3179
1980 07 11 235.9304
1980 07 12 235.5430
1980 07 13 235.1557
1980 07 14 234.7682
1980 07 15 234.3806
1980 07 16 233.9923
1980 07 17 233.6035
1980 07 18 233.2140
1980 07 19 232.8238
1980 07 20 232.4327
1980 07 21 232.0406
1980 07 22 231.6473
1980 07 23 231.2529
1980 07 24 230.8573
1980 07 25 230.4604
1980 07 26 230.0621
1980 07 27 229.6625
1980 07 28 229.2615
1980 07 29 228.8589
1980 07 30 228.4547
1980 07 31 228.0490
1980 08 01 227.6418
1980 08 02 227.2329
1980 08 03 226.8223
1980 08 04 226.4098
1980 08 05 225.9953
1980 08 06 225.5788
1980 08 07 225.1602
1980 08 08 224.7398
1980 08 09 224.3175
1980 08 10 223.8933
1980 08 11 223.4674
1980 08 12 223.0395
1980 08 13 222.6099
1980 08 14 222.1786
1980 08 15 221.7456
1980 08 16 221.3112
1980 08 17 220.8751
1980 08 18 220.4376
1980 08 19 220.0006
1980 08 20 219.5602
1980 08 21 219.1176
1980 08 22 218.6739
1980 08 23 218.2292
1980 08 24 217.7833
1980 08 25 217.3364
1980 08 26 216.8884
1980 08 27 216.4393
1980 08 28 215.9892
1980 08 29 215.5382
1980 08 30 215.0862
1980 08 31 214.6333
1980 09 01 214.1796
1980 09 02 213.7251
1980 09 03 213.2699
1980 09 04 212.8405
1980 09 05 212.7985
1980 09 06 215.2043
1980 09 07 217.7311
1980 09 08 217.9009
1980 09 09 216.3840
1980 09 10 214.4819
1980 09 11 212.9122
1980 09 12 211.6789
1980 09 13 210.6635
1980 09 14 209.7907
1980 09 15 209.0171
1980 09 16 208.3495
1980 09 17 209.0787
1980 09 18 210.1282
1980 09 19 209.7056
1980 09 20 208.3697
1980 09 21 207.3017
1980 09 22 206.4406
1980 09 23 205.6558
1980 09 24 206.3533
1980 09 25 210.5335
1980 09 26 219.3445
1980 09 27 229.2185
1980 09 28 234.9115
1980 09 29 233.6938
1980 09 30 230.1913
1980 10 01 227.9273
1980 10 02 227.7816
1980 10 03 224.2004
1980 10 04 218.7673
1980 10 05 213.9221
1980 10 06 210.1412
1980 10 07 207.2202
1980 10 08 204.9115
1980 10 09 203.3054
1980 10 10 202.1948
1980 10 11 200.9469
1980 10 12 199.7520
1980 10 13 199.5298
1980 10 14 203.2769
1980 10 15 210.3131
1980 10 16 217.4546
1980 10 17 216.5117
1980 10 18 214.6847
1980 10 19 212.0747
1980 10 20 208.1895
1980 10 21 204.4357
1980 10 22 201.3582
1980 10 23 199.2015
1980 10 24 197.4425
1980 10 25 196.0518
1980 10 26 195.2532
1980 10 27 194.3137
1980 10 28 193.4198
1980 10 29 192.9441
1980 10 30 192.3457
1980 10 31 194.4937
1980 11 01 198.7823
1980 11 02 202.3723
1980 11 03 204.4646
1980 11 04 207.4748
1980 11 05 224.5253
1980 11 06 237.1966
1980 11 07 252.0524
1980 11 08 254.7961
1980 11 09 253.1064
1980 11 10 252.2060
1980 11 11 250.4079
1980 11 12 250.8936
1980 11 13 249.6842
1980 11 14 244.3789
1980 11 15 239.6891
1980 11 16 241.8768
1980 11 17 245.0750
1980 11 18 240.3817
1980 11 19 239.8108
1980 11 20 240.3339
1980 11 21 235.2966
1980 11 22 227.6518
1980 11 23 226.9996
1980 11 24 227.8548
1980 11 25 227.1286
1980 11 26 228.5448
1980 11 27 235.6740
1980 11 28 239.9115
1980 11 29 245.9388
1980 11 30 248.3831
1980 12 01 238.9955
1980 12 02 237.6622
1980 12 03 246.4023
1980 12 04 253.9997
1980 12 05 256.2175
1980 12 06 255.2521
1980 12 07 248.5386
1980 12 08 243.0688
1980 12 09 241.5811
1980 12 10 239.5269
1980 12 11 246.3301
1980 12 12 250.7597
1980 12 13 260.8676
1980 12 14 263.2079
1980 12 15 271.0523
1980 12 16 284.8724
1980 12 17 307.7179
1980 12 18 318.3391
1980 12 19 333.3708
